No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,備考,入力者,入庫日,下代(数値)
177,FALSE,Pt900,リング,ダイヤ,CT,03K-12-100,"400,000",20441,0.41ct,,,河野,2022/03/09,DRA2-2-30
178,FALSE,Pt900,リング,ダイヤ,CT,DRB2-2-100,"400,000",3042,0.35ct,,,fujita,2023/08/18,DRA2-3-30
179,FALSE,Pt900,リング,ダイヤ,CT,03K-60-100,"400,000",104454,0.32ct,,,tanaka,2023/11/14,DRA2-3-70
180,FALSE,Pt900,リング,ダイヤ,CT,03B-83-100,"420,000",104904,0.53ct,,,SK,2015/07/23,DRB2-1-100
181,FALSE,Pt900,リング,ダイヤ,CT,03B-56-100,"420,000",104173,0.59ct,,,河野,2022/03/09,DRB2-1-30
182,FALSE,Pt900,リング,ダイヤ,CT,DRK2-1-100,"440,000",20429,0.41ct,,,fujita,2023/08/18,DRB2-1-70
183,FALSE,Pt900,リング,ダイヤ,CT,DRK2-1-100,"450,000",20437,0.43ct,,,fujita,2023/03/08,DRB1-1-30
184,FALSE,Pt900,リング,ダイヤ,CT,03K-12-100,"450,000",103482,0.37ct,,,tanaka,2023/11/14,DRB1-1-70
185,FALSE,Pt900,リング,ダイヤ,CT,04K-14-100,"510,000",20555,0.52ct,,,fujita,2025/05/28,DRB1-3-50
186,FALSE,Pt900,リング,ダイヤ,CT,04K-13-100,"520,000",104054,0.70ct,,,KOUNO,2019/09/26,DRB1-4-150
187,FALSE,Pt900,リング,ダイヤ,CT,03K-73-100,"570,000",1011077,0.78ct,,,muro,2017/07/28,DRB1-4-30
188,FALSE,Pt900,リング,ダイヤ,CT,04B-57-100,"570,000",106366,0.38ct,,,komaki,2017/08/07,DRB1-4-200
189,FALSE,Pt900,リング,ダイヤ,CT,03K-58-100,"594,000",105244,0.51ct,,,furuya,2020/07/11,DRB1-4-300
190,FALSE,Pt900,リング,ダイヤ,CT,04K-14-100,"650,000",104204,0.51ct,,,小牧,2023/09/06,DRB1-4-50
191,FALSE,Pt900,リング,ダイヤ,CT,03B-302-100,"804,000",103929,0.95ct,,,kida,2017/03/17,DRB1-4-70
192,FALSE,Pt900,リング,ダイヤ,CT,04B-57-100pink,"980,000",30179,0.35ct,,Pink=0.35ct/No.181242,不明,不明,DRB1-5-300
193,FALSE,Pt900,リング,ダイヤ,1.5CT,03A-210-150,"270,000",20621,,,,河野,2022/03/09,DRB2-2-100
