No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,摘要,入力者,入庫日,下代（数値）
105,FALSE,Pt900,リング,ダイヤ,0.8,03B-224-70,"260,000",103086,0.35ct,,ABC,fujitaL,2025/06/23,
106,FALSE,Pt900,リング,ダイヤ,0.8,03B-X074-70,"260,000",20265,0.12ct,,あいう,fujitaL,2025/06/23,"26,500"
107,FALSE,Pt900,リング,ダイヤ,0.8,03K-38-70,"260,000",103297,,45cm,,fujitaL,2025/06/23,
108,FALSE,Pt900,リング,ダイヤ,0.8,DRA2-1-80,"130,000",20385,,,,fujita,2023/08/18,"13,700"
109,FALSE,Pt900,リング,ダイヤ,0.8,DRB1-4-70,"260,000",3026,,25cm,123,fujitaL,2025/06/23,"26,000"
110,FALSE,Pt900,リング,ダイヤ,0.8,R-dA002-100,"260,000",103086,0.35ct,,ABC,fujitaLM,2025/06/23,"30,860"
111,FALSE,Pt900,リング,ダイヤ,0.8,R-dA002-70,"260,000",20265,0.12ct,,あいう,fujitaLM,2025/06/23,"26,500"
112,FALSE,Pt900,リング,ダイヤ,0.8,R-dA003-20,"260,000",3026,,25cm,123,fujitaLM,2025/06/23,"26,000"
113,FALSE,Pt900,リング,ダイヤ,0.8,R-dA003-30,"260,000",103297,,45cm,,fujitaLM,2025/06/23,"32,970"
114,FALSE,Pt900,リング,ダイヤ,0.9,DRA2-1-90,"135,000",20408,,,,fujita,2023/08/18,"12,500"
115,FALSE,Pt900,リング,ダイヤ,CT,03A-122-100,"140,000",102502,,,,河野,2022/03/09,"13,000"
116,FALSE,Pt900,リング,ダイヤ,CT,03A-170-100,"220,000",104264,,,,nakajima,2023/07/05,"39,000"
117,FALSE,Pt900,リング,ダイヤ,CT,03A-201-150DSH,"340,000",20353,0.08ct,,,muro,2020/02/23,"21,600"
118,FALSE,Pt900,リング,ダイヤ,CT,03A-210-100,"230,000",104658,,,,河野,2022/03/09,"25,000"
119,FALSE,Pt900,リング,ダイヤ,CT,03B-113-100,"350,000",106401,0.10ct,,,komaki,2022/04/04,"29,100"
120,FALSE,Pt900,リング,ダイヤ,CT,03B-214-100,"300,000",102913,0.30ct,,,河野,2022/03/09,"22,000"
121,FALSE,Pt900,リング,ダイヤ,CT,03B-214-100,"370,000",103159,0.33ct,,,小牧,2023/09/06,"21,600"
122,FALSE,Pt900,リング,ダイヤ,CT,03B-227-100,"350,000",104643,0.20ct,,,kim,2018/11/19,"24,000"
123,FALSE,Pt900,リング,ダイヤ,CT,03B-227-100,"350,000",103877,0.23ct,,,河野,2022/03/09,"37,200"
124,FALSE,Pt900,リング,ダイヤ,CT,03B-263-100,"350,000",103295,0.39ct,,,KOUNO,2021/03/12,"24,000"
125,FALSE,Pt900,リング,ダイヤ,CT,03B-285-100,"350,000",3027,0.40ct,,,坂井,2024/10/08,"33,200"
126,FALSE,Pt900,リング,ダイヤ,CT,03B-302-100,"804,000",103929,0.95ct,,,kida,2017/03/17,"34,000"
127,FALSE,Pt900,リング,ダイヤ,CT,03B-312-100,"400,000",104039,0.40ct,,,河野,2022/03/09,"35,500"
